월,정류장,count
202303.0,인하대병원,8
202303.0,인하대정문,8
202303.0,청능로사거리,8
202303.0,기점(미정차),7
202303.0,삼영아파트,7
202303.0,신비마을아파트,7
202303.0,약대사거리,7
202303.0,윤성아파트(인항고교),7
202303.0,구월아시아드6단지,6
202303.0,도림주공1단지,6
202303.0,백운역,6
202303.0,신포시장,6
202303.0,용일사거리,6
202303.0,용정초등학교,6
202303.0,인천미래생활고등학교,6
202303.0,인하대역4번출구,6
202303.0,중구문화회관,6
202303.0,하늘휴게소,6
202303.0,학산소극장,6
202303.0,학익사거리(동아풍림아파트),6
202303.0,한국아파트,6
202303.0,힘찬병원,6
202303.0,CJ인천2공장,5
202303.0,관교중학교(약수터),5
202303.0,금호2차아파트,5
202303.0,금호아파트,5
202303.0,길병원,5
202303.0,남광로얄아파트,5
202303.0,남동구청,5
202303.0,남동초등학교,5
202303.0,도화오거리,5
202303.0,법원.검찰청,5
202303.0,부평역,5
202303.0,삼익.광명아파트,5
202303.0,송도파크레인동일하이빌,5
202303.0,숭의초등학교,5
202303.0,시민의숲.양재꽃시장,5
202303.0,인천논현중학교,5
202303.0,학익2동행정복지센터,5
202303.0,현대시장,5
202303.0,호반써밋송도,5
202303.0,e편한세상정문,4
202303.0,검암역(시내방면),4
202303.0,교대역,4
202303.0,남동구청후문(남동등기소),4
202303.0,도림아이파크아파트,4
202303.0,두산위브아파트,4
202303.0,로얄아파트,4
202303.0,백산아파트,4
202303.0,부천시청역3번출구.경기예고.현대백화점,4
202303.0,서창퍼스트뷰후문,4
202303.0,숭의로터리,4
202303.0,신동아아파트(B),4
202303.0,신동아아파트8차,4
202303.0,신선초등학교앞,4
202303.0,쌍용아파트,4
202303.0,옹진군청,4
202303.0,인수초등학교,4
202303.0,주안3동행정복지센터,4
202303.0,진흥아파트,4
202303.0,가좌농협,3
202303.0,교보생명,3
202303.0,굴다리오거리,3
202303.0,동막역(3번출구),3
202303.0,문학정보고입구,3
202303.0,벽산아파트(미추홀도서관),3
202303.0,부천시청역1번출구,3
202303.0,삼미시장,3
202303.0,상동역1번출구.부천터미널소풍.홈플러스,3
202303.0,서울역,3
202303.0,서초역,3
202303.0,석암초등학교앞,3
202303.0,선바위역,3
202303.0,수봉공원,3
202303.0,신동아3차아파트,3
202303.0,신촌오거리.현대백화점,3
202303.0,용현중학교,3
202303.0,운연역,3
202303.0,월드메르디앙아파트,3
202303.0,은봉초등학교,3
202303.0,인천기계공고,3
202303.0,인천소방본부,3
202303.0,인천향교.인천도호부청사,3
202303.0,태화.두진아파트,3
202303.0,토지금고시장앞,3
202303.0,검암중학교,2
202303.0,굴다리입구,2
202303.0,남구평생학습센터,2
202303.0,남동경찰서.남촌농산물도매시장,2
202303.0,남촌풍림2차아파트,2
202303.0,대인고등학교,2
202303.0,도화IC,2
202303.0,독배로317번길(삼거리),2
202303.0,동춘동종점,2
202303.0,무지개아파트(동남아파트),2
202303.0,문학경로당,2
202303.0,문학우체국,2
202303.0,미송초등학교,2
202303.0,미추홀구청,2
202303.0,미추홀구청입구,2
202303.0,배다리,2
202303.0,부평구청·부평세무서,2
202303.0,서창119안전센터,2
202303.0,서창센트럴푸르지오,2
202303.0,선유고등학교,2
202303.0,송도재래시장,2
202303.0,송도중학교,2
202303.0,송림4동행정복지센터,2
202303.0,숭의2동행정복지센터,2
202303.0,신동아아파트5차,2
202303.0,신명아파트.대우3차아파트,2
202303.0,신성성결교회(올림피아병원),2
202303.0,아암물류단지,2
202303.0,엑슬루타워,2
202303.0,영남아파트,2
202303.0,용현3동행정복지센터.보훈병원,2
202303.0,유원아파트,2
202303.0,인천대학교공과대학,2
202303.0,인천뷰티예술고등학교,2
202303.0,인천시청후문,2
202303.0,인천용학초등학교,2
202303.0,장미아파트(19동)앞,2
202303.0,재흥시장,2
202303.0,정광아파트(병무청),2
202303.0,주안1동행정복지센터,2
202303.0,풍림1차아파트,2
202303.0,풍림아파트,2
202303.0,학산사거리,2
202303.0,학익동성당앞,2
202303.0,학익시장,2
202303.0,학익시장(법원검찰청),2
202303.0,학익시장앞,2
202303.0,한양아파트,2
202303.0,합정역,2
202303.0,항운아파트,2
202303.0,현광아파트(호산부인과),2
202303.0,현대5차아파트,2
202303.0,SK스카이뷰104동,1
202303.0,SK주유소앞,1
202303.0,가정(루원시티)역,1
202303.0,가현중학교,1
202303.0,검바위역,1
202303.0,구월2동행정복지센터,1
202303.0,구월도매시장,1
202303.0,구월아시아드8단지,1
202303.0,구월중학교,1
202303.0,굴다리,1
202303.0,길병원사거리,1
202303.0,남동세무서,1
202303.0,남동중학교,1
202303.0,남인천세무서,1
202303.0,남인천여자중학교,1
202303.0,남촌풍림3차아파트,1
202303.0,논현12단지산뒤마을,1
202303.0,논현14단지등대마을,1
202303.0,논현14단지등대마을휴먼시아아파트,1
202303.0,논현사거리,1
202303.0,도림주공2단지,1
202303.0,독정이고개,1
202303.0,동춘2동행정복지센터,1
202303.0,두산아파트,1
202303.0,라이프아파트,1
202303.0,래미안아파트파이낸셜뉴스,1
202303.0,루원이편한세상하늘채(112동),1
202303.0,마린월드,1
202303.0,만수주공4단지,1
202303.0,문학고개,1
202303.0,미추홀도서관.인천신월초등학교,1
202303.0,백운프라자,1
202303.0,보건환경연구원,1
202303.0,복지회관,1
202303.0,부원중학교,1
202303.0,부평구청,1
202303.0,새안의원,1
202303.0,서초아트자이아파트,1
202303.0,서화초등학교(도화e편한세상),1
202303.0,석락아파트,1
202303.0,석바위,1
202303.0,석암초등학교,1
202303.0,성리초등학교,1
202303.0,성문아파트(문화연립),1
202303.0,소래포구입구,1
202303.0,송도라마다호텔앞,1
202303.0,송도컨벤시아,1
202303.0,송도풍림아이원2단지,1
202303.0,송림오거리,1
202303.0,송학둥지아파트,1
202303.0,순복음교회,1
202303.0,숭덕여중고입구,1
202303.0,숭의교회,1
202303.0,숭의역(2번출구),1
202303.0,숭의초등학교입구,1
202303.0,시민공원,1
202303.0,신동아1.2차아파트,1
202303.0,신비마을아파트(112동),1
202303.0,신일교회,1
202303.0,신중동역6번출구.중흥중학교,1
202303.0,신창아파트,1
202303.0,신천동,1
202303.0,신천역.문화의거리,1
202303.0,심곡극동아파트,1
202303.0,아시아드경기장(공촌사거리)역,1
202303.0,양곡도매시장,1
202303.0,연안아파트,1
202303.0,연합의원,1
202303.0,용남시장,1
202303.0,용남파출소,1
202303.0,용일초등학교,1
202303.0,용현동농협,1
202303.0,은지초등학교사거리,1
202303.0,은행초등학교,1
202303.0,이대역,1
202303.0,인천교통공사,1
202303.0,인천교회,1
202303.0,인천예림학교(인천성모병원),1
202303.0,인천의료원,1
202303.0,인천재능대학교서문,1
202303.0,인천지방법원,1
202303.0,인천출입국.외국인청,1
202303.0,인천항신국제여객터미널,1
202303.0,인하대병원입구,1
202303.0,정광아파트.만수주공11단지,1
202303.0,정부인천지방합동청사,1
202303.0,종점(병무청),1
202303.0,주안현대아파트,1
202303.0,충정로역2호선,1
202303.0,태평아파트.주안한신휴플러스아파트,1
202303.0,토지금고,1
202303.0,하나아파트,1
202303.0,학익사거리,1
202303.0,한국국토정보공사인천북부지사,1
202303.0,한신아파트,1
202303.0,항동7가버스차고지,1
202303.0,현광아파트,1
202303.0,현광아파트후문,1
202303.0,현대아파트,1
202303.0,효성상아아파트,1
202303.0,힐캐슬프라자,1
202304.0,주안역환승정류장,198
202304.0,롯데백화점(인천터미널),103
202304.0,인하대역(7번출구),79
202304.0,남중학교,58
202304.0,동인천,57
202304.0,(구)시민회관사거리,53
202304.0,동인천역,52
202304.0,주안역,51
202304.0,토지금고시장,49
202304.0,인하대역(1번출구),48
202304.0,신기.남부종합시장(진흥사거리),46
202304.0,풍림아이원아파트,31
202304.0,송내역남부,30
202304.0,강남역서초현대타워앞,26
202304.0,문학초등학교,26
202304.0,용현시장,22
202304.0,원흥아파트,22
202304.0,인하대후문,22
202304.0,홍대입구역,21
202304.0,인천향교유림회관,20
202304.0,정병원,19
202304.0,주안7동행정복지센터,19
202304.0,인명여자고등학교,18
202304.0,수봉마을쉼터,17
202304.0,정석항공과학고,17
202304.0,현대3차아파트,17
202304.0,동아풍림아파트,16
202304.0,인천대입구역,15
202304.0,제물포역,15
202304.0,나사렛국제병원앞,14
202304.0,송도유원지(도로교통공단),14
202304.0,신동아아파트,14
202304.0,대동아파트,13
202304.0,인하대병원,13
