노선,기종점,월,정류장순번,정류장,이용자유형,합계,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,00,04,01,02,03
13,신흥교통 - 신흥교통,202301.0,17.0,숭의역(1번출구),국가유공자,8,1,1,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202302.0,17.0,숭의역(1번출구),국가유공자,6,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202303.0,197.0,용현시장,국가유공자,11,5,0,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202304.0,197.0,용현시장,국가유공자,17,4,0,1,1,1,1,1,3,2,1,0,0,1,1,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202305.0,197.0,용현시장,국가유공자,25,11,1,0,0,2,0,2,0,0,2,5,0,0,1,0,1,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202306.0,66.0,루원이편한세상하늘채(125동),국가유공자,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202307.0,66.0,루원이편한세상하늘채(125동),국가유공자,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202308.0,66.0,루원이편한세상하늘채(125동),국가유공자,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,,,,
13,신흥교통 - 신흥교통,202309.0,66.0,루원이편한세상하늘채(125동),국가유공자,7,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202310.0,66.0,루원이편한세상하늘채(125동),국가유공자,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202311.0,68.0,루원이편한세상하늘채(125동),국가유공자,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202312.0,68.0,루원이편한세상하늘채(125동),국가유공자,5,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202301.0,5.0,미송초등학교,어린이,4,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202302.0,5.0,미송초등학교,어린이,11,0,0,0,1,0,2,0,4,2,1,1,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202303.0,1.0,아암물류단지,어린이,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202304.0,5.0,미송초등학교,어린이,11,0,0,0,1,2,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202305.0,68.0,루에블리아파트,어린이,5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202306.0,211.0,신흥교통,어린이,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202307.0,5.0,미송초등학교,어린이,36,0,0,0,0,0,2,3,5,12,1,12,1,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202308.0,5.0,미송초등학교,어린이,53,0,0,0,2,0,0,2,0,1,2,31,5,4,2,4,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202309.0,82.0,풍림3차아파트,어린이,11,1,0,0,0,1,3,0,0,2,1,0,1,0,0,1,1,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202310.0,112.0,가좌홈플러스(쌍마아파트),어린이,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202311.0,6.0,미송초등학교,어린이,27,0,0,0,0,1,0,0,0,4,15,3,2,0,2,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202312.0,6.0,미송초등학교,어린이,66,0,0,0,0,0,0,4,3,6,35,4,10,2,2,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202301.0,197.0,용현시장,일반인,1554,176,137,116,88,74,72,60,77,77,62,120,91,77,123,103,46,28,15,12,0.0,,,,
13,신흥교통 - 신흥교통,202302.0,197.0,용현시장,일반인,1554,172,132,86,120,89,74,50,78,93,61,91,96,66,112,122,55,30,8,19,0.0,,,,
13,신흥교통 - 신흥교통,202303.0,197.0,용현시장,일반인,1738,202,139,126,88,88,64,89,94,110,92,99,123,81,121,116,42,30,21,13,0.0,,,,
13,신흥교통 - 신흥교통,202304.0,197.0,용현시장,일반인,1588,158,167,135,76,52,56,76,95,93,79,106,88,58,104,112,61,36,17,19,0.0,,,,
13,신흥교통 - 신흥교통,202305.0,197.0,용현시장,일반인,1638,179,142,163,92,54,56,63,93,78,101,117,98,73,107,112,39,34,19,18,0.0,,,,
13,신흥교통 - 신흥교통,202306.0,197.0,용현시장,일반인,1726,181,142,193,92,66,41,72,95,83,112,95,92,55,120,131,58,48,23,27,0.0,,,,
13,신흥교통 - 신흥교통,202307.0,197.0,용현시장,일반인,1647,186,137,152,65,53,64,65,104,96,86,96,93,58,110,108,68,59,29,18,0.0,,,,
13,신흥교통 - 신흥교통,202308.0,197.0,용현시장,일반인,1670,202,146,152,93,65,50,59,79,84,103,107,95,88,116,99,45,35,34,18,0.0,,,,
13,신흥교통 - 신흥교통,202309.0,197.0,용현시장,일반인,1653,165,111,146,80,52,52,67,81,101,91,123,106,112,114,128,51,32,28,13,0.0,,,,
13,신흥교통 - 신흥교통,202310.0,197.0,용현시장,일반인,1720,155,120,163,98,62,72,53,79,116,128,131,95,104,107,111,52,33,22,19,0.0,,,,
13,신흥교통 - 신흥교통,202311.0,197.0,용현시장,일반인,1617,145,99,121,101,54,77,60,79,117,105,98,106,133,85,129,47,21,24,16,0.0,,,,
13,신흥교통 - 신흥교통,202312.0,197.0,용현시장,일반인,1513,149,94,114,74,69,74,57,70,107,97,88,122,104,98,103,43,23,15,12,0.0,,,,
13,신흥교통 - 신흥교통,202301.0,9.0,SK주유소앞,장애인,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202302.0,9.0,SK주유소앞,장애인,15,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202303.0,9.0,SK주유소앞,장애인,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202304.0,9.0,SK주유소앞,장애인,17,13,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202305.0,9.0,SK주유소앞,장애인,16,12,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202306.0,86.0,풍림1차아파트,장애인,26,22,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202307.0,86.0,풍림1차아파트,장애인,34,20,1,0,4,1,0,0,2,2,1,0,0,2,0,0,0,1,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202308.0,86.0,풍림1차아파트,장애인,32,23,0,0,3,1,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0.0,,,,
13,신흥교통 - 신흥교통,202309.0,86.0,풍림1차아파트,장애인,27,20,1,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202310.0,86.0,풍림1차아파트,장애인,24,19,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202311.0,85.0,풍림1차아파트,장애인,11,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202312.0,197.0,용현시장,장애인,22,17,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202301.0,22.0,독정이고개,청소년,74,2,2,9,4,3,4,0,7,10,8,1,9,4,6,0,3,2,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202302.0,28.0,주안7동행정복지센터,청소년,63,2,2,12,3,1,1,3,2,7,3,7,4,3,3,3,7,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202303.0,28.0,주안7동행정복지센터,청소년,113,9,13,32,6,1,2,0,6,1,0,11,9,16,5,2,0,0,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202304.0,27.0,주안3동행정복지센터,청소년,150,4,11,46,8,6,9,4,2,10,6,9,2,11,9,3,3,0,7,0,0.0,,,,
13,신흥교통 - 신흥교통,202305.0,22.0,독정이고개,청소년,127,4,1,38,19,8,5,2,3,5,2,1,5,4,21,3,2,2,2,0,0.0,,,,
13,신흥교통 - 신흥교통,202306.0,67.0,루원이편한세상하늘채(112동),청소년,378,17,1,57,21,1,4,0,2,2,11,51,135,28,21,4,13,5,4,1,0.0,,,,
13,신흥교통 - 신흥교통,202307.0,67.0,루원이편한세상하늘채(112동),청소년,321,17,4,46,15,2,7,62,21,14,4,45,54,14,2,6,4,4,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202308.0,67.0,루원이편한세상하늘채(112동),청소년,296,10,0,38,14,0,3,12,21,6,16,92,47,12,12,7,5,1,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202309.0,67.0,루원이편한세상하늘채(112동),청소년,323,15,1,58,27,1,8,25,16,4,1,70,54,17,11,4,4,6,0,1,0.0,,,,
13,신흥교통 - 신흥교통,202310.0,67.0,루원이편한세상하늘채(112동),청소년,317,15,2,52,33,5,3,12,9,7,16,42,64,21,17,5,7,6,1,0,0.0,,,,
13,신흥교통 - 신흥교통,202311.0,69.0,루원이편한세상하늘채(112동),청소년,166,9,0,29,16,1,0,1,4,8,1,31,41,4,13,1,5,2,0,0,0.0,,,,
13,신흥교통 - 신흥교통,202312.0,69.0,루원이편한세상하늘채(112동),청소년,329,7,8,59,17,4,9,45,24,9,9,57,45,20,9,4,3,0,0,0,0.0,,,,
1601,인하대후문 - 인하대정문,202301.0,11.0,힘찬병원,경로,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,
1601,인하대후문 - 인하대정문,202302.0,11.0,힘찬병원,경로,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,
1601,인하대후문 - 인하대정문,202303.0,11.0,힘찬병원,경로,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,
1601,인하대후문 - 인하대정문,202304.0,11.0,힘찬병원,경로,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,
1601,인하대후문 - 인하대정문,202305.0,4.0,주안사거리,경로,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,
1601,인하대후문 - 인하대정문,202306.0,25.0,서교동,경로,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1601,인하대후문 - 인하대정문,202307.0,0.0,인하대후문,경로,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,
1601,인하대후문 - 인하대정문,202308.0,5.0,석바위,경로,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0
1601,인하대후문 - 인하대정문,202309.0,14.0,상동역1번출구.부천터미널소풍.홈플러스,경로,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,
1601,인하대후문 - 인하대정문,202310.0,16.0,부천시청역1번출구,경로,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,
1601,인하대후문 - 인하대정문,202311.0,3.0,용일사거리,경로,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,
